NO,국문,영문,학명,관리현황,분류군,학명-수정
1,귀잎아카시아,Earpod wattle,Acacia auriculiformis</em> A.Cunn. ex Benth.,유입주의 생물,식물,Acacia auriculiformis
2,타이완아카시아,"Acacia petit, Formosan koa, Taiwan acacia",Acacia confusa</em> Merr.,유입주의 생물,식물,Acacia confusa
3,해변아카시아,,Acacia cyclops</em> A.Cunn. ex G.Don,유입주의 생물,식물,Acacia cyclops
4,가시바늘아카시아,"Sweet acacia, Huisache, Needle bush",Acacia farnesiana</em> (L.) Willd.,유입주의 생물,식물,Acacia farnesiana
5,호주아카시아,Black wattle,Acacia mearnsii</em> De Wild.,유입주의 생물,식물,Acacia mearnsii
6,노랑꽃호주아카시아,"Kangaroo acacia, Kangaroo thorn",Acacia paradoxa</em> DC.,유입주의 생물,식물,Acacia paradoxa
7,황금아카시아,,Acacia saligna</em> (Labill.) H.L.Wendl.,유입주의 생물,식물,Acacia saligna
8,별도꼬마리,,Acanthospermum australe</em> (Loefl.) Kuntze,유입주의 생물,식물,Acanthospermum australe
9,가시별도꼬마리,,Acanthospermum hispidum</em> DC.,유입주의 생물,식물,Acanthospermum hispidum
10,메밀잎소리쟁이,,Acetosa sagittata</em> (Thunb.) L.A.S.Johnson &amp; B.G.Briggs,유입주의 생물,식물,Acetosa sagittata
11,범무늬왕달팽이,Giant ghana african snail,Achatina achatina</em>,유입주의 생물,무척추동물,Achatina achatina
12,분홍입술왕달팽이,Pink-lipped agate snail,Achatina immaculata</em>,유입주의 생물,무척추동물,Achatina immaculata
13,러시아납지리,Russian Bitterling,Acheilognathus asmussii</em>,유입주의 생물,어류,Acheilognathus asmussii
14,붉은다비라납지리,Red tabira bitterling,Acheilognathus tabira erythropterus,유입주의 생물,어류,Acheilognathus tabira erythropterus
15,다비라납자루,Red tabira bitterling,Acheilognathus tabira</em>,유입주의 생물,어류,Acheilognathus tabira
16,숲찌르레기,Jungle myna,Acridotheres fuscus</em>,유입주의 생물,조류,Acridotheres fuscus
17,회색뿔찌르레기,,Acridotheres ginginianus</em>,유입주의 생물,조류,Acridotheres ginginianus
18,자바찌르레기,,Acridotheres javanicus</em>,유입주의 생물,조류,Acridotheres javanicus
19,검은목갈색찌르레기,Common myna,Acridotheres tristis</em>,유입주의 생물,조류,Acridotheres tristis
20,지중해염소풀,,Aegilops geniculata</em> Roth,유입주의 생물,식물,Aegilops geniculata
21,야생염소풀,"Tausch&apos;s goatgrass, Rough-spiked hardgrass",Aegilops tauschii</em> Coss.,유입주의 생물,식물,Aegilops tauschii
22,가시염소풀,,Aegilops triuncialis</em> L.,유입주의 생물,식물,Aegilops triuncialis
23,유럽독미나리,,Aethusa cynapium</em> L.,유입주의 생물,식물,Aethusa cynapium
24,강변등골나물,Mistflower,Ageratina riparia</em> (Regel) R.M. King &amp; H. Rob.,유입주의 생물,식물,Ageratina riparia
25,사막개밀,"Desert wheatgrass, Clustered wheat grass",Agropyron desertorum</em> Schult.,유입주의 생물,식물,Agropyron desertorum
26,블릭,Bleak,Alburnus alburnus</em>,유입주의 생물,어류,Alburnus alburnus
27,다뉴브블릭,Danube bleak,Alburnus chalcoides</em>,유입주의 생물,어류,Alburnus chalcoides
28,사막가시골담초,"Camelthorn, Camelthorn-bush",Alhagi maurorum</em> Medik.,유입주의 생물,식물,Alhagi maurorum
29,이집트기러기,,Alopochen aegyptiaca</em>,유입주의 생물,조류,Alopochen aegyptiaca
30,회색청어,Alewife,Alosa pseudoharengus</em>,유입주의 생물,어류,Alosa pseudoharengus
31,아메리카청어,American shad,Alosa sapidissima</em>,유입주의 생물,어류,Alosa sapidissima
32,가시땅비름,Khaki weed,Alternanthera pungens</em> Kunth,유입주의 생물,식물,Alternanthera pungens
33,열매비름,,Amaranthus polygonoides</em> L.,유입주의 생물,식물,Amaranthus polygonoides
34,북미검정동자개,Black bullhead,Ameiurus melas</em>,유입주의 생물,어류,Ameiurus melas
35,북미갈색동자개,Brown bullhead,Ameiurus nebulosus</em>,유입주의 생물,어류,Ameiurus nebulosus
36,거대어미바도마뱀,Giant ameiva,Ameiva ameiva</em>,"외래생물, 유입주의 생물",파충류,Ameiva ameiva
