KTSN,NO,관리분류군,Phylum(Name),Phylum(국명),Class(Name),Class(국명),Order(Name),Order(국명),Family(Name),Family(국명),Genus(Name),Genus(국명),Species(Name),Species(국명),학명,대표국명,명명자,명명년도,특성
1.20E+11,1,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Bovidae,소과,Naemorhedus,산양속,caudatus,산양,Naemorhedus caudatus,산양,(Milne-Edwards),-1867,
1.20E+11,2,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Cervidae,사슴과,Capreolus,노루속,pygargus,노루,Capreolus pygargus,노루,(Pallas),-1771,
1.20E+11,3,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Cervidae,사슴과,Cervus,사슴속,elaphus,말사슴,Cervus elaphus,말사슴,Linnaeus,1758,
1.20E+11,4,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Cervidae,사슴과,Cervus,사슴속,nippon,꽃사슴,Cervus nippon hortulorum,대륙사슴,,,
1.20E+11,5,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Cervidae,사슴과,Hydropotes,고라니속,inermis,고라니,Hydropotes inermis,고라니,Swinhoe,1870,
1.20E+11,6,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Moschidae,사향노루과,Moschus,사향노루속,moschiferus,사향노루,Moschus moschiferus,사향노루,Linnaeus,1758,
1.20E+11,7,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Artiodactyla,우제목,Suidae,멧돼지과,Sus,멧돼지속,scrofa,멧돼지,Sus scrofa,멧돼지,Linnaeus,1758,
1.20E+11,8,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Canidae,개과,Canis,개속,lupus,늑대,Canis lupus coreanus,늑대,,,
1.20E+11,9,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Canidae,개과,Cuon,승냥이속,alpinus,승냥이,Cuon alpinus,승냥이,(Pallas),-1811,
1.20E+11,10,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Canidae,개과,Nyctereutes,너구리속,procyonoides,너구리,Nyctereutes procyonoides,너구리,(Gray),-1834,
1.20E+11,11,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Canidae,개과,Vulpes,여우속,vulpes,여우,Vulpes vulpes peculiosa,여우,,,
1.20E+11,12,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Felidae,고양이과,Lynx,스라소니속,lynx,스라소니,Lynx lynx,스라소니,(Linnaeus),-1758,
1.20E+11,13,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Felidae,고양이과,Panthera,표범속,pardus,표범,Panthera pardus orientalis,표범,,,
1.20E+11,14,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Felidae,고양이과,Panthera,표범속,tigris,호랑이,Panthera tigris altaica,호랑이,,,
1.20E+11,15,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Felidae,고양이과,Prionailurus,삵속,bengalensis,삵,Prionailurus bengalensis,삵,(Kerr),-1792,
1.20E+11,16,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Lutra,수달속,lutra,수달,Lutra lutra,수달,(Linnaeus),-1758,
1.20E+11,17,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Martes,담비속,flavigula,담비,Martes flavigula,담비,(Boddaert),-1785,
1.20E+11,18,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Martes,담비속,melampus,산달,Martes melampus,산달,(Wagner),-1840,
1.20E+11,19,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Martes,담비속,zibellina,검은담비,Martes zibellina,검은담비,(Linnaeus),-1758,
1.20E+11,20,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Meles,오소리속,leucurus,오소리,Meles leucurus,오소리,(Hodgson),-1847,
1.20E+11,21,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Mustela,족제비속,altaica,고산족제비,Mustela altaica,고산족제비,Pallas,1811,
1.20E+11,22,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Mustela,족제비속,nivalis,무산쇠족제비,Mustela nivalis,무산쇠족제비,Linnaeus,1766,
1.20E+11,23,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Mustelidae,족제비과,Mustela,족제비속,sibirica,족제비,Mustela sibirica,족제비,Pallas,1773,
1.20E+11,24,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Otariidae,바다사자과,Callorhinus,물개속,ursinus,물개,Callorhinus ursinus,물개,(Linnaeus),1758,
1.20E+11,25,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Otariidae,바다사자과,Eumetopias,큰바다사자속,jubatus,큰바다사자,Eumetopias jubatus,큰바다사자,(Schreber),-1776,
1.20E+11,26,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Otariidae,바다사자과,Zalophus,바다사자속,japonicus,바다사자,Zalophus japonicus,바다사자,(Peters),-1866,
1.20E+11,27,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Phocidae,물범과,Histriophoca,흰띠박이물범속,fasciata,흰띠박이물범,Histriophoca fasciata,흰띠박이물범,(Zimmermann),-1783,
1.20E+11,28,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Phocidae,물범과,Phoca,물범속,largha,물범,Phoca largha,물범,Pallas,1811,
1.20E+11,29,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Phocidae,물범과,Pusa,고리무늬물범속,hispida,고리무늬물범,Pusa hispida,고리무늬물범,(Schreber),-1775,
1.20E+11,30,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Ursidae,곰과,Ursus,곰속,arctos,불곰,Ursus arctos,불곰,Linnaeus,1758,
1.20E+11,31,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Carnivora,식육목,Ursidae,곰과,Ursus,곰속,thibetanus,반달가슴곰,Ursus thibetanus ussuricus,반달가슴곰,,,
1.20E+11,32,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenidae,긴수염고래과,Eubalaena,북방긴수염고래속,japonica,북태평양참고래,Eubalaena japonica,북태평양참고래,(Lacépède),-1818,
1.20E+11,33,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Balaenoptera,수염고래속,acutorostrata,밍크고래,Balaenoptera acutorostrata,밍크고래,Lacépède,1804,
1.20E+11,34,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Balaenoptera,수염고래속,borealis,보리고래,Balaenoptera borealis,보리고래,Lesson,1828,
1.20E+11,35,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Balaenoptera,수염고래속,edeni,브라이드고래,Balaenoptera edeni,브라이드고래,Anderson,1879,
1.20E+11,36,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Balaenoptera,수염고래속,musculus,흰긴수염고래,Balaenoptera musculus,흰긴수염고래,(Linnaeus),-1758,
1.20E+11,37,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Balaenoptera,수염고래속,physalus,긴수염고래,Balaenoptera physalus,긴수염고래,(Linnaeus),-1758,
1.20E+11,38,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Balaenopteridae,수염고래과,Megaptera,혹등고래속,novaeangliae,혹등고래,Megaptera novaeangliae,혹등고래,(Borowski),-1781,
1.20E+11,39,포유류,Chordata,척삭동물문,Mammalia,포유동물강,Cetacea,고래목,Delphinidae,돌고래과,Delphinus,돌고래속,capensis,돌고래,Delphinus capensis,돌고래,Gray,1828,
