NO,국문,영문,학명,관리현황,분류군,학명-수정,특성
1,귀잎아카시아,Earpod wattle,Acacia auriculiformis</em> A.Cunn. ex Benth.,유입주의 생물,식물,Acacia auriculiformis,"Acacia auriculiformis, commonly known as auri, karuvel in Tamil Nadu and Karnataka and aakashmani in West Bengal, is a fast-growing, crooked, gnarly tree in the family Fabaceae. It is native to Australia, Philippines, Indonesia, and Papua New Guinea. It grows up to 30 metres (98 ft) tall.  Acacia auriculiformis has about 47,000 seeds per kilogram (21,000/lb)."
2,타이완아카시아,"Acacia petit, Formosan koa, Taiwan acacia",Acacia confusa</em> Merr.,유입주의 생물,식물,Acacia confusa,"Acacia confusa is a perennial tree native to South-East Asia. Some common names for it are acacia petit feuille, Ayangile, small Philippine acacia, Formosa acacia (Taiwan acacia), Philippine Wattle, and Formosan koa. It grows to a height of 15 m. The tree has become very common in many tropical Pacific areas, including Hawaii, where the species is considered invasive."
3,해변아카시아,,Acacia cyclops</em> A.Cunn. ex G.Don,유입주의 생물,식물,Acacia cyclops,"Acacia cyclops, commonly known as coastal wattle, cyclops wattle, one-eyed wattle, red-eyed wattle, redwreath acacia, western coastal wattle, rooikrans, rooikrans acacia, is a coastal shrub or small tree in the family Fabaceae.  Native to Australia, it is distributed along the west coast of Western Australia as far north as Leeman, and along the south coast into South Australia. The Noongar peoples of Western Australia know the plant as wilyawa or woolya wah."
4,가시바늘아카시아,"Sweet acacia, Huisache, Needle bush",Acacia farnesiana</em> (L.) Willd.,유입주의 생물,식물,Acacia farnesiana,"Vachellia farnesiana, also known as Acacia farnesiana, and previously Mimosa farnesiana, commonly known as sweet acacia, huisache, or needle bush, is a species of shrub or small tree in the legume family, Fabaceae. Its flowers are used in the perfume industry."
5,호주아카시아,Black wattle,Acacia mearnsii</em> De Wild.,유입주의 생물,식물,Acacia mearnsii,"Black wattle is the common name for a number of species of trees that are native to Australia, as listed below:

Acacia aulacocarpa
Acacia auriculiformis, also known as Darwin Black Wattle or northern black wattle;
Acacia concurrens
Acacia crassicarpa
Acacia decurrens, also known as Early Black Wattle
Acacia hakeoides, also known as Western Black Battle
Acacia implexa
Acacia leiocalyx, also known as Early-flowering Black Wattle
Acacia mabellae
Acacia mangium
Acacia mearnsii, also known as Late B"
6,노랑꽃호주아카시아,"Kangaroo acacia, Kangaroo thorn",Acacia paradoxa</em> DC.,유입주의 생물,식물,Acacia paradoxa,"Acacia paradoxa  is a plant in the family Fabaceae. Its common names include kangaroo acacia, kangaroo thorn, prickly wattle, hedge wattle and paradox acacia."
7,황금아카시아,,Acacia saligna</em> (Labill.) H.L.Wendl.,유입주의 생물,식물,Acacia saligna,"Acacia saligna, commonly known by various names including coojong, golden wreath wattle, orange wattle, blue-leafed wattle, Western Australian golden wattle, and, in Africa, Port Jackson willow, is a small tree in the family Fabaceae. Native to Australia, it is widely distributed throughout the south west corner of Western Australia, extending north as far as the Murchison River, and east to Israelite Bay.
The Noongar peoples know the tree as Cujong."
8,별도꼬마리,,Acanthospermum australe</em> (Loefl.) Kuntze,유입주의 생물,식물,Acanthospermum australe,"Acanthospermum australe (Paraguayan starburr,  ihi kukae hipa, Paraguay bur, Paraquay starbur, pipili,  sheepbur, or spiny-bur) is a South American species of herbaceous plants first described as a species in 1758."
9,가시별도꼬마리,,Acanthospermum hispidum</em> DC.,유입주의 생물,식물,Acanthospermum hispidum,"Acanthospermum hispidum (bristly starbur, goat's head, hispid starburr, starbur) is an annual plant in the family Asteraceae, which is native to Central and South America. This plant is cited as a weed in cotton culture in Brazil, and it is also used as a medicinal plant. It is also naturalized in many scattered places in Eurasia, Africa, and North America It is naturalized in Australia and is a declared weed in Western Australia."
10,메밀잎소리쟁이,,Acetosa sagittata</em> (Thunb.) L.A.S.Johnson &amp; B.G.Briggs,유입주의 생물,식물,Acetosa sagittata,"Rumex sagittatus, synonym Acetosa sagittata, commonly known as turkey rhubarb or rambling dock or potato vine, is a herbaceous perennial plant native to southern Africa, which has become a weed in Australia and New Zealand."
